game_date,home_team,away_team,home_win,diff_p_xFIP,diff_p_K-BB%,diff_bat_wRC+,diff_p_ERA,diff_p_WHIP,diff_p_FIP,diff_p_SIERA,diff_p_K%,diff_p_BB%,home_roll5_run_diff_mean,diff_roll5_run_diff_mean,home_h2h_win_pct,away_h2h_win_pct,diff_h2h_win_pct,diff_h2h_runs_scored_avg,diff_h2h_runs_allowed_avg
2022-03-17,CWS,CHC,1,-1.3400000000000007,0.001,-0.0906432748538037,-0.02,0.0,-0.4399999999999995,-0.41000000000000014,-0.010999999999999899,-0.071,1.0,2.0,1.0,0.0,1.0,1.0,-1.0
2022-03-17,COL,AZ,1,-0.3799999999999999,0.02,-0.0906432748538037,0.5299999999999994,-0.05,-2.02,-0.6299999999999999,-0.025999999999999995,-0.04499999999999999,0.6,1.6,,,,,
2022-03-17,BOS,MIN,1,-2.0200000000000005,0.111,2.965240641711219,-3.65,-0.5900000000000001,-2.24,-1.58,0.09499999999999997,-0.016,-2.6,-0.8,,,,,
2022-03-17,CHC,CWS,0,0.3200000000000003,0.001,-0.0906432748538037,-0.02,0.0,0.6299999999999999,0.25,-0.03,-0.007999999999999993,-0.6,3.1999999999999997,,,,,
2022-03-18,DET,PHI,0,-0.04999999999999982,-0.0910000000000001,-23.22272727272727,1.7999999999999998,0.33,-1.4300000000000006,1.0699999999999994,-0.066,0.023999999999999994,-0.2,2.0,,,,,
2022-03-18,ATL,MIN,1,-0.8300000000000001,0.001,31.4848484848485,-0.02,0.0,-1.08,-0.8200000000000003,0.07699999999999999,0.007999999999999993,-1.6,11.4,,,,,
2022-03-18,STL,HOU,1,-0.040000000000000036,0.001,10.476608187134502,-0.02,0.0,-0.5300000000000002,0.16000000000000014,-0.037000000000000005,-0.007999999999999993,1.6,1.4000000000000001,,,,,
2022-03-18,BAL,TOR,0,1.6100000000000003,0.001,-64.88333333333333,-0.02,0.0,3.1799999999999997,0.8900000000000006,-0.05499999999999999,0.045,-4.8,-4.8,,,,,
2022-03-18,PIT,NYY,1,2.7899999999999996,-0.0859999999999999,-23.931111111111107,18.59,1.6,6.839999999999999,1.1200000000000006,-0.10200000000000001,-0.016,0.6,2.0,,,,,
2022-03-18,AZ,COL,0,0.5500000000000007,0.001,-0.0906432748538037,-0.02,0.0,-0.4200000000000004,0.3700000000000001,0.016999999999999904,0.011999999999999997,-2.0,-4.0,0.0,1.0,-1.0,-2.0,2.0
2022-03-18,CLE,CIN,1,1.9800000000000004,-0.133,28.252631578947373,6.0,1.07,3.5500000000000007,2.29,-0.044,0.08900000000000001,-1.2,-0.19999999999999996,,,,,
2022-03-18,SD,SEA,1,-0.4800000000000004,0.045,-0.0906432748538037,0.3700000000000001,0.1399999999999999,-0.9399999999999995,-0.5600000000000005,0.101,0.055999999999999994,1.0,-1.2000000000000002,,,,,
2022-03-18,LAD,MIL,0,-1.9500000000000002,0.001,0.1868421052631674,-0.02,0.0,-2.59,-2.59,0.0040000000000000036,-0.16799999999999998,-2.4,-0.7999999999999998,,,,,
2022-03-18,SF,CHC,0,0.029999999999999805,0.044,-0.0906432748538037,4.21,0.3500000000000001,0.6400000000000006,-0.52,0.028999999999999998,-0.015,-3.2,-1.2000000000000002,,,,,
2022-03-18,WSH,MIA,0,2.6399999999999997,-0.1679999999999999,-0.0906432748538037,2.85,0.3500000000000001,3.4299999999999997,2.4000000000000004,-0.1279999999999999,0.04100000000000001,1.0,2.0,,,,,
2022-03-18,TEX,KC,0,-1.3500000000000005,0.001,-0.0906432748538037,-0.02,0.0,-1.5199999999999996,-1.13,0.065,-0.0269999999999999,-2.4,-4.0,,,,,
2022-03-18,ATH,LAA,1,-0.0600000000000005,0.001,-0.0906432748538037,-0.02,0.0,-0.15999999999999925,-0.2599999999999998,0.009000000000000008,-0.033,0.0,-2.4,,,,,
2022-03-18,BOS,TB,1,-4.5,0.2089999999999999,-0.0906432748538037,-7.94,-1.58,-8.75,-2.4400000000000004,0.0809999999999999,-0.128,13.0,16.4,,,,,
2022-03-19,CIN,ATH,1,0.17999999999999972,0.001,-0.0906432748538037,-0.02,0.0,-0.3799999999999999,0.27,-0.015999999999999903,-0.0010000000000000009,-1.0,-3.0,,,,,
2022-03-19,CWS,CLE,0,0.0,0.001,-0.0906432748538037,-0.02,0.0,-0.040000000000000036,-0.009999999999999787,0.0010000000000000009,-0.0010000000000000009,2.0,1.0,,,,,
2022-03-19,COL,SF,0,-0.9800000000000004,0.001,-0.0906432748538037,-0.02,0.0,-0.8399999999999999,-0.7700000000000005,0.0790000000000001,-0.027999999999999997,2.0,6.0,,,,,
2022-03-19,WSH,NYM,0,0.4300000000000006,0.001,-0.0906432748538037,-0.02,0.0,1.67,0.08999999999999986,0.021999999999999992,0.026999999999999996,-5.0,-4.8,,,,,
2022-03-19,TB,ATL,0,-0.35999999999999943,0.056,-0.0906432748538037,-0.6200000000000001,-0.32,-1.4500000000000002,-0.5100000000000002,0.010999999999999982,-0.045000000000000005,-1.0,-3.0,,,,,
2022-03-19,BAL,NYY,0,-0.1200000000000001,0.001,-33.361111111111114,-0.02,0.0,-0.14999999999999947,0.21999999999999975,-0.010000000000000009,0.0059999999999999915,-4.0,-3.0,,,,,
2022-03-19,TEX,MIL,0,0.2400000000000002,0.0179999999999999,-15.049999999999995,0.6600000000000001,0.29,-0.34999999999999964,0.77,0.07899999999999999,0.061,0.0,0.0,,,,,
2022-03-19,PIT,DET,1,-0.6400000000000006,0.001,9.952727272727271,-0.02,0.0,-0.8199999999999994,-0.6600000000000001,0.056999999999999995,0.0,1.0,1.0,,,,,
2022-03-19,CHC,SD,1,-1.8699999999999997,0.046,-0.0906432748538037,-0.77,0.25,-1.1600000000000001,-0.6499999999999999,0.0770000000000001,0.03,0.0,-2.0,,,,,
2022-03-19,PHI,TOR,1,-1.3699999999999997,0.001,-42.18333333333332,-0.02,0.0,-1.6100000000000003,-1.38,0.07599999999999998,-0.039,0.0,-4.0,,,,,
2022-03-19,MIA,HOU,1,0.0,0.001,8.966507177033492,-0.02,0.0,-0.040000000000000036,-0.009999999999999787,0.0010000000000000009,-0.0010000000000000009,5.0,7.0,,,,,
2022-03-19,MIN,BOS,0,-0.94,0.068,-2.965240641711219,-1.1999999999999995,-0.3299999999999998,-1.25,-1.23,0.0429999999999999,-0.024999999999999994,-7.5,-14.5,0.0,1.0,-1.0,-13.0,13.0
2022-03-19,LAA,AZ,1,0.0,0.001,-0.0906432748538037,-0.02,0.0,-0.040000000000000036,-0.009999999999999787,0.0010000000000000009,-0.0010000000000000009,-2.0,0.0,,,,,
2022-03-19,SEA,LAD,1,0.0,0.001,-5.974937343358405,-0.02,0.0,-0.040000000000000036,-0.009999999999999787,0.0010000000000000009,-0.0010000000000000009,-2.0,-2.0,,,,,
2022-03-20,COL,CWS,0,-0.05000000000000071,-0.024,-0.0906432748538037,1.0499999999999998,0.1799999999999999,0.5099999999999998,0.3200000000000003,-0.01999999999999999,0.003999999999999906,0.3333333333333333,2.0,,,,,
2022-03-20,ATH,CLE,0,-0.5199999999999996,0.0339999999999999,-0.0906432748538037,1.1799999999999995,0.04,-2.8699999999999997,-0.2600000000000007,-0.0009999999999998899,-0.034999999999999906,-2.0,-7.0,,,,,
2022-03-20,BOS,BAL,1,-0.9700000000000002,0.073,20.39705882352941,0.7999999999999998,0.01,0.5799999999999996,-1.2100000000000004,0.13,0.056999999999999995,5.0,7.0,,,,,
2022-03-20,KC,AZ,1,0.41999999999999993,0.001,-0.0906432748538037,-0.02,0.0,2.1799999999999997,0.2400000000000002,-0.008000000000000007,0.05900000000000001,0.0,3.6666666666666665,,,,,
2022-03-20,NYY,DET,0,0.7399999999999998,0.001,33.88383838383838,-0.02,0.0,1.1900000000000004,0.5899999999999999,-0.028999999999999998,0.006999999999999992,-0.5,1.0,,,,,
2022-03-20,ATL,PHI,1,0.19999999999999973,0.001,26.216666666666683,-0.02,0.0,-0.1299999999999999,0.11000000000000032,0.014999999999999986,0.006999999999999992,1.0,0.5,,,,,
2022-03-20,HOU,WSH,0,-1.37,0.001,-0.0906432748538037,-0.02,0.0,0.35000000000000053,0.5099999999999998,-0.04500000000000001,-0.012999999999999998,-5.0,-0.5,,,,,
2022-03-20,MIN,TB,1,0.0,0.001,-0.0906432748538037,-0.02,0.0,-0.040000000000000036,-0.009999999999999787,0.0010000000000000009,-0.0010000000000000009,-5.333333333333333,-4.833333333333333,,,,,
2022-03-20,SEA,LAA,0,2.6,-0.141,20.954212454212453,-2.7500000000000004,-0.2299999999999999,1.3800000000000003,2.18,-0.13599999999999998,0.0049999999999999906,-0.5,-3.0,,,,,
2022-03-20,MIL,SD,1,-2.7,0.2339999999999999,-0.0906432748538037,-6.24,-1.69,-1.69,-2.89,0.12800000000000003,-0.105,5.5,5.0,,,,,
2022-03-20,NYM,STL,0,-2.1999999999999997,0.1339999999999999,6.277777777777757,-2.8200000000000003,-0.5599999999999998,-2.89,-1.52,0.10800000000000001,-0.02600000000000001,4.0,2.0,,,,,
2022-03-20,CIN,SF,1,0.8300000000000001,0.001,-0.0906432748538037,-0.02,0.0,-0.5300000000000002,1.2600000000000007,-0.102,0.013999999999999999,2.5,3.0,,,,,
2022-03-20,TOR,PIT,1,-0.46999999999999975,0.037,55.45333333333332,0.4300000000000006,-0.0699999999999998,0.11000000000000032,-0.5200000000000005,0.063,0.024999999999999994,1.5,-0.5,,,,,
2022-03-20,LAD,CHC,0,0.34999999999999964,-0.0819999999999999,5.546365914786961,3.3600000000000003,-0.3400000000000001,5.52,1.1500000000000004,-0.1159999999999999,-0.03399999999999999,-0.5,-0.75,,,,,
2022-03-21,CLE,TEX,0,0.0,0.001,-5.44736842105263,-0.02,0.0,-0.040000000000000036,-0.009999999999999787,0.0010000000000000009,-0.0010000000000000009,3.3333333333333335,8.833333333333334,,,,,
2022-03-21,NYY,PHI,1,-0.5099999999999998,0.001,10.661111111111111,-0.02,0.0,-1.0600000000000005,-0.6999999999999997,0.05000000000000002,-0.012999999999999998,-0.6666666666666666,0.33333333333333337,,,,,
2022-03-21,BOS,ATL,1,-1.8399999999999999,0.15,-28.51960784313728,-3.43,-0.5899999999999999,-1.6500000000000004,-1.88,0.06599999999999989,-0.08399999999999999,4.0,2.0,,,,,
2022-03-21,SD,COL,0,-0.5599999999999996,0.001,-0.0906432748538037,-0.02,0.0,-0.8800000000000003,-0.7899999999999996,0.04100000000000001,-0.026999999999999996,-0.6666666666666666,-0.41666666666666663,,,,,
2022-03-21,LAA,KC,0,-0.6499999999999999,0.08,-0.0906432748538037,-0.8999999999999999,-0.1299999999999999,-1.1800000000000002,-0.6699999999999999,0.09000000000000002,0.011000000000000107,3.0,2.5,,,,,
2022-03-21,AZ,SEA,1,0.9900000000000002,-0.028,-0.0906432748538037,1.239999999999999,-0.1600000000000001,1.29,0.6100000000000003,-0.11399999999999991,-0.087,-3.0,-1.3333333333333333,,,,,
2022-03-21,CHC,CIN,1,0.16999999999999993,0.046,43.39047619047621,-1.13,-0.1499999999999999,0.1900000000000004,-0.16999999999999993,0.07,0.023999999999999994,0.2,-3.1333333333333333,,,,,
2022-03-21,TB,PIT,0,0.0,0.001,-0.0906432748538037,-0.02,0.0,-0.040000000000000036,-0.009999999999999787,0.0010000000000000009,-0.0010000000000000009,-1.3333333333333333,-0.6666666666666666,,,,,
2022-03-21,BAL,MIN,1,-0.05000000000000071,0.032,-17.431818181818187,-1.62,-0.3800000000000001,-1.0300000000000002,-0.21999999999999975,0.027999999999999997,-0.0049999999999999906,-1.6666666666666667,1.5833333333333333,,,,,
2022-03-21,SF,MIL,0,-0.16999999999999993,0.043,-0.0906432748538037,-3.69,-0.5399999999999999,-1.44,-0.7000000000000002,0.03,-0.011999999999999997,-2.0,-6.666666666666667,,,,,
2022-03-21,DET,TOR,0,0.41999999999999993,-0.1089999999999998,-65.40606060606059,-1.3699999999999997,-0.1,-1.6700000000000004,1.4400000000000004,-0.11399999999999999,-0.006000000000000005,-0.6666666666666666,-3.6666666666666665,,,,,
2022-03-21,MIA,NYM,1,0.8599999999999999,-0.11,-7.787878787878768,5.21,0.59,3.83,1.0500000000000003,-0.07499999999999998,0.034999999999999996,6.5,5.5,,,,,
2022-03-21,WSH,STL,0,1.5900000000000003,-0.15,-0.0906432748538037,0.5599999999999996,0.3799999999999999,1.3700000000000006,1.7799999999999998,-0.09700000000000011,0.052999999999999894,-2.6666666666666665,-4.666666666666666,,,,,
2022-03-21,CWS,LAD,1,0.1200000000000001,0.001,-0.0906432748538037,-0.02,0.0,1.6600000000000001,0.2999999999999998,0.0020000000000000018,-0.021000000000000005,-0.75,-0.4166666666666667,,,,,
2022-03-22,MIN,ATL,0,1.88,-0.115,-31.4848484848485,1.23,0.2099999999999999,2.5300000000000002,1.6800000000000002,-0.09299999999999989,0.022000000000000006,-3.0,-3.25,0.0,1.0,-1.0,-2.0,2.0
2022-03-22,LAA,COL,1,-1.3700000000000006,-0.102,-11.792307692307688,4.47,0.5900000000000001,-1.1,-3.5799999999999996,-0.171,-0.069,1.5,0.9,,,,,
2022-03-22,TB,BOS,0,4.76,-0.2439999999999998,-0.0906432748538037,8.36,1.79,9.760000000000002,2.93,-0.12100000000000002,0.12300000000000001,-2.0,-6.2,0.0,1.0,-1.0,-1.0,1.0
2022-03-22,MIL,CWS,0,0.8700000000000001,-0.1100000000000001,-0.0906432748538037,0.5,0.1800000000000001,1.2800000000000002,0.9299999999999997,-0.11100000000000002,0.0,5.25,5.45,,,,,
2022-03-22,PHI,DET,1,-0.6299999999999999,0.001,23.22272727272727,-0.02,0.0,-0.8399999999999999,-0.6600000000000001,0.07300000000000001,0.015,-1.5,-0.5,1.0,0.0,1.0,0.0,0.0
2022-03-22,KC,ATH,1,1.8800000000000003,-0.114,-0.0906432748538037,1.2300000000000004,0.24,1.8900000000000001,1.5599999999999996,-0.08299999999999991,0.029999999999999902,1.3333333333333333,2.6666666666666665,,,,,
2022-03-22,CLE,SD,1,0.6699999999999995,0.001,-0.0906432748538037,-0.02,0.0,0.5600000000000005,0.7199999999999998,-0.033,0.016999999999999994,-0.75,0.75,,,,,
2022-03-22,SEA,CHC,0,-0.5099999999999998,0.0629999999999998,-0.4285714285714448,-0.2400000000000002,-0.09,-0.11000000000000032,-0.31000000000000005,0.05599999999999991,-0.006999999999999992,-3.25,-3.85,,,,,
2022-03-22,LAD,CIN,0,-0.49999999999999956,0.001,48.93684210526317,-0.02,0.0,-0.39000000000000057,-0.3599999999999999,-0.0030000000000000027,-0.012999999999999998,-0.75,-3.0,,,,,
2022-03-22,PIT,BAL,0,-0.05999999999999961,-0.0139999999999999,9.430000000000009,-0.4499999999999997,-0.04,0.8800000000000003,0.02999999999999936,-0.004000000000000087,0.010000000000000009,0.5,1.25,,,,,
2022-03-22,AZ,TEX,0,0.8700000000000001,-0.0809999999999999,-0.0906432748538037,-2.05,-0.04,-1.9299999999999997,1.3400000000000003,-0.0810000000000001,-0.0010000000000000009,-0.8,-1.4666666666666668,,,,,
2022-03-22,NYM,HOU,1,-0.19999999999999973,0.001,16.75438596491226,-0.02,0.0,-0.3100000000000005,-0.5199999999999996,0.01100000000000001,-0.012999999999999998,-0.3333333333333333,3.333333333333333,,,,,
